ID,Home_income,Home_car,Home_drive,Age,Gender,Home_type,P_Trip_purpose,P_Trip_seq
256475_3,5,0,1,"[55,60)",0,1,4,2
256037_3,5,1,1,"[25,30)",1,1,2,1
256509_2,5,1,1,"[30,35)",0,1,4,2
256418_4,6,1,1,"[25,30)",0,1,0,1
197290_3,5,1,1,"[30,35)",1,3,4,3
251256_1,2,0,0,"[30,35)",0,2,4,2
197290_1,5,1,1,"[55,60)",1,3,4,2
197290_3,5,1,1,"[30,35)",1,3,0,1
256558_1,5,1,0,"[70,75)",0,1,4,2
256470_2,5,1,1,"[55,60)",1,1,0,1
246056_2,5,1,1,"[50,55)",0,4,1,1
256412_2,5,1,1,"[60,65)",1,1,4,2
256412_1,5,1,0,"[55,60)",0,1,4,2
256037_3,5,1,1,"[25,30)",1,1,4,2
196644_1,1,0,0,"[25,30)",0,4,0,1
196598_2,2,1,0,"[35,40)",0,3,0,1
256164_3,4,1,0,"[45,50)",1,1,0,1
256164_3,4,1,0,"[45,50)",1,1,4,2
256470_3,5,1,0,"[15,20)",0,1,0,1
195616_1,2,0,1,"[35,40)",1,3,4,2
256509_2,5,1,1,"[30,35)",0,1,0,1
256023_3,5,1,1,"[30,35)",1,1,4,2
197290_1,5,1,1,"[55,60)",1,3,0,1
196120_1,1,0,0,"[25,30)",0,3,4,3
246056_2,5,1,1,"[50,55)",0,4,4,2
256558_1,5,1,0,"[70,75)",0,1,3,1
256142_2,5,1,1,"[45,50)",0,1,0,1
256203_3,5,1,1,"[35,40)",1,1,1,1
256111_3,4,1,1,"[25,30)",0,1,0,1
256475_3,5,0,1,"[55,60)",0,1,0,1
196359_1,3,1,1,"[30,35)",1,3,4,2
245429_1,1,0,1,"[25,30)",1,5,2,1
256198_4,6,1,1,"[25,30)",0,1,4,2
256026_2,5,1,1,"[60,65)",0,1,4,2
256541_3,5,0,0,"[15,20)",0,1,0,1
256406_3,4,0,0,"[20,25)",0,1,0,1
256185_2,2,1,0,"[60,65)",0,1,3,1
190196_1,3,1,1,"[35,40)",1,3,4,2
256203_2,5,1,1,"[60,65)",1,1,0,1
256541_1,5,0,1,"[40,45)",1,1,4,2
256412_2,5,1,1,"[60,65)",1,1,0,1
256418_3,6,1,0,"[30,35)",0,1,4,2
196120_1,1,0,0,"[25,30)",0,3,0,1
256217_2,4,0,1,"[50,55)",1,1,0,1
256214_1,5,1,1,"[50,55)",0,1,4,2
256035_3,5,1,0,"[15,20)",0,1,0,1
256185_1,2,1,1,"[65,70)",1,1,4,2
195637_1,2,0,0,"[20,25)",0,3,0,1
196359_1,3,1,1,"[30,35)",1,3,0,1
256203_3,5,1,1,"[35,40)",1,1,4,2
256313_3,5,1,0,"[15,20)",1,1,1,3
256198_3,6,1,1,"[25,30)",1,1,4,2
190011_1,2,0,0,"[75,80)",1,3,3,1
256198_4,6,1,1,"[25,30)",0,1,0,1
256217_2,4,0,1,"[50,55)",1,1,4,2
256475_4,5,0,0,"[25,30)",0,1,4,2
256203_1,5,1,1,"[65,70)",0,1,0,1
190011_2,2,0,0,"[70,75)",0,3,4,2
256475_4,5,0,0,"[25,30)",0,1,2,1
256203_2,5,1,1,"[60,65)",1,1,4,2
196548_1,3,1,1,"[40,45)",1,3,4,2
256313_3,5,1,0,"[15,20)",1,1,4,4
256142_3,5,1,1,"[20,25)",1,1,2,1
256035_3,5,1,0,"[15,20)",0,1,4,2
190196_1,3,1,1,"[35,40)",1,3,0,1
195906_1,3,1,0,"[35,40)",1,3,4,2
256541_1,5,0,1,"[40,45)",1,1,0,1
256161_2,4,1,1,"[35,40)",1,1,0,1
256412_1,5,1,0,"[55,60)",0,1,0,1
190011_2,2,0,0,"[70,75)",0,3,3,1
256198_1,6,1,1,"[55,60)",0,1,0,1
256406_3,4,0,0,"[20,25)",0,1,2,3
256055_1,5,1,1,"[55,60)",1,1,0,1
256418_4,6,1,1,"[25,30)",0,1,4,2
256026_2,5,1,1,"[60,65)",0,1,3,1
256145_1,1,0,1,"[70,75)",0,1,4,2
